RowID,COL_1,COL_2,COL_3,COL_4,COL_5,SOLD
1yEGeg9E,190,VAL_A,7,4,-4,0
fEaDXHiD,215,VAL_B,7,8,-1,0
NMc0TKTM,,,,28,18,0
OM0YAyZe,,,,50,4,0
L4Ntlncn,,,,14,23,0
jx1x7uRZ,,VAL_B,,23,22,0
JstA0SgX,,,,11,0,0
sVi6y1HT,,,,8,21,0
FFtV8uuh,305,VAL_B,5,2,-6,0
FAfwecgn,,,,8,-8,0
9as8qzWG,185,VAL_B,5,6,17,0
oEoAh1o7,,,,12,-12,0
IBURE3Hg,225,VAL_B,3,3,12,1
gblRVytk,,,,7,13,0
dMv17IVG,,,,4,-4,0
H8U64Q8B,,,,9,17,0
RlvJO5BM,235,VAL_B,1,,15,0
pc6iCxlZ,,,,8,15,0
I7qf47kq,200,VAL_M,5,4,25,0
D9zhcEGG,-3,VAL_B,7,,8,0
2o81G2AA,175,VAL_B,3,8,-2,0
9i9RO0FA,-3,VAL_B,4,3,-9,1
BJGYFFUb,370,VAL_B,6,9,18,0
zXiKnoDC,255,VAL_B,6,,0,0
Q1bRwXG7,105,VAL_B,1,10,29,0
h3QtG1Ay,165,VAL_B,6,10,18,0
cRTJ80uT,360,VAL_B,5,12,11,0
KeyZ6VDD,195,VAL_B,6,42,13,0
70BhvhRV,,VAL_B,,10,7,0
cjxw07UD,315,VAL_B,2,9,-6,0
oYOkEJBR,,,,11,4,0
lHtpzb5B,295,VAL_B,3,,1,0
tKfBKOPY,200,VAL_B,3,8,10,0
AHtkP2cO,-3,VAL_D,2,3,-7,0
qFVW0Om5,,,,18,-4,0
WPeeuSFX,,,,14,12,0
4gkPSdGK,,,,4,-10,0
skpiWi2N,,,,3,20,0
xa7e2YeD,,,,,17,0
qmascBOR,215,VAL_H,7,7,3,0
qWXT6oQe,210,VAL_B,1,9,12,0
TVycS7sR,125,VAL_B,1,8,33,0
oEh6UG44,,,,,-11,0
OzhBdjHu,,,,8,-11,0
2ujuyxo4,255,VAL_I,7,3,-5,0
jkpixiu9,295,VAL_B,7,10,-7,0
5d9fVQTD,,,,,-13,0
45rY9xl2,305,VAL_B,7,8,-7,0
Y1EXHQfK,180,VAL_B,3,3,9,0
isLeGxgX,,,,43,17,0
wnIjTBhr,335,VAL_B,5,2,1,0
wxhtWmVm,,VAL_B,,12,27,0
Oux5lsPD,-1,VAL_B,1,9,20,0
sxAOCvOd,,,,8,10,0
vM3crAJ3,,,,8,-9,0
xVC9NRtM,220,VAL_B,4,8,9,0
HLKd52e4,,,,8,-8,0
TnjgxFO0,,VAL_B,,55,-4,0
cjUnVKpr,,,,9,16,0
ziJspzqy,200,VAL_B,2,6,12,0
sbggtj3U,,VAL_B,,10,6,0
iz8XKgYj,,VAL_B,,9,31,0
tJLQ6s7A,,,,17,-9,0
DVhAEx4z,230,VAL_B,5,12,6,0
Ji1za8Qe,,,,9,7,0
DROHU7Bo,,,,8,18,0
8t1yWkkf,,,,,-3,0
qryWLYjG,-2,VAL_B,5,,-5,0
LANy8Cai,,,,37,24,0
gYR97QR9,,,,8,2,0
EKcQvNP2,,,,41,11,0
7oUSTXNp,,,,8,8,0
GBtA7kwU,-3,VAL_B,7,6,6,0
2zcXEwVL,250,VAL_B,2,,-4,0
lLIrM4qy,,,,,4,0
snT3lHVM,355,VAL_B,4,8,1,0
lvSbyJgP,,,,50,-1,0
thCh9bIK,,,,7,1,0
2tEriyD8,,,,55,8,0
jId90WJs,,,,7,0,0
gtwSufTQ,,,,7,4,0
OxEGhR8E,335,VAL_B,5,8,-7,0
1OgMrkgm,,,,8,13,0
JEJ0mT5P,340,VAL_B,3,,-12,0
EMRZANPr,,,,,-4,0
BhdbQkGd,,,,,20,0
oySyjfNY,175,VAL_A,5,7,-8,0
9tSLQAOy,,,,10,18,0
PnAHh32Z,185,VAL_B,2,6,-3,0
0fGFVR5T,,VAL_B,,4,-10,0
bDZtEELe,260,VAL_B,2,8,-2,0
nztkoi8J,,,,8,2,0
MeTksxEc,270,VAL_B,7,12,-9,0
APCNkCJp,-3,VAL_M,4,9,8,0
x0YEc0IU,,,,8,-5,0
Aq7KGPwz,,,,18,-9,0
3Z2iVVym,,,,8,15,0
StSfVVx3,245,VAL_B,6,9,-4,0
ei4VqCiR,,VAL_B,,4,24,0
vJgjVQHs,-1,VAL_M,1,7,-1,0
gMFb7lLU,175,VAL_B,1,8,4,0
zg0BslnZ,-3,VAL_K,5,,-2,0
ocXX9lEh,225,VAL_D,5,8,13,0
JiP2WDqc,220,VAL_B,4,8,-3,0
aiEux8Fc,,,,9,-3,0
NYJ00knN,,,,8,8,0
suBvm93M,275,VAL_B,5,6,-3,0
dTFJDsOO,220,VAL_B,1,6,16,0
lJDaTg9H,,,,8,-13,0
ari7T5Oo,,,,16,-3,0
nq8tXoJB,290,VAL_B,1,3,7,0
NZ9Ofe7g,290,VAL_B,7,6,-8,0
0xssdNGI,,,,55,4,0
rFmJE4HO,170,VAL_A,2,5,29,0
EubgqxF9,,,,15,20,0
TEDC8I6o,,VAL_B,,9,6,0
DnP0PdEn,-3,VAL_F,7,,8,0
F0boZS05,310,VAL_B,7,11,16,0
0udkOJ8J,-3,VAL_M,7,9,5,0
gk5Mqm0x,-3,VAL_A,5,9,15,1
h8VNF5pj,,,,15,22,0
N6WwwKGO,120,VAL_K,5,4,9,0
hNZFAwhj,,VAL_B,,4,14,0
H7CalXeS,175,VAL_B,3,8,24,0
upmK4noH,230,VAL_K,2,5,19,0
4GClgkIC,305,,7,,-5,0
8mtzN3if,,,,7,5,0
4CkXNtRW,,,,43,14,0
pC8p3n0v,,,,,-10,0
7e5nHYFe,-3,VAL_B,7,3,6,0
p2Pkm6Yd,,,,,-14,0
MgxnPO8s,210,VAL_B,7,,-9,0
d3ml57e8,,VAL_B,,13,52,0
JdDun50T,,,,9,11,0
GAtHvXyN,,,,9,-9,0
ufRACfMu,,,,16,-6,0
MUz3wW9Q,175,,1,11,2,0
3McH9RGD,360,VAL_B,5,4,7,0
PfatvH92,,,,9,-1,0
viKNLCVO,,,,8,2,0
3YJ3FNnd,-3,VAL_B,7,5,-6,0
kt9KTGtZ,,VAL_B,,9,21,0
DjP1A5JZ,,,,16,-9,0
1VuZ4oui,,,,15,5,0
HiPHbWDO,275,VAL_B,7,6,5,0
FrTNM0Hu,,,,7,11,0
MOLCXfMD,,,,9,21,0
LlGmnnbV,,,,7,5,0
XNohfD7E,230,VAL_B,3,9,-14,0
9nHlJMO3,230,VAL_B,7,8,0,0
IdpFMhPE,,,,,2,0
u0mxDB1Y,,,,9,13,0
CHnKadUg,,,,14,-5,0
uGBOe25n,,,,40,15,0
d8GIPCKn,,,,17,8,0
v2YNA12a,205,VAL_B,4,6,-1,0
nDwI1K7b,255,VAL_B,1,2,6,1
eXS1qCa6,-3,VAL_B,7,8,0,0
y3YLnMss,,VAL_B,,8,-32,0
dH7tuyej,,,,7,11,0
38cOhj2x,,,,17,13,0
lf1oq2EO,210,VAL_B,2,9,-10,0
ZjqfOBm6,330,VAL_B,4,7,2,0
ADfBgLUd,,VAL_B,,8,8,0
I1rXcw5c,300,VAL_B,7,6,3,0
cwyDqadM,,,,,0,0
WxcaOXEb,,,,6,17,0
9as9FD0W,220,VAL_B,7,7,11,0
TrzLBvZw,250,VAL_B,4,,-9,0
NieUZF3y,,,,9,-9,0
P7C7FlhN,,,,9,-3,0
DxMKSahw,245,VAL_B,3,4,10,0
8M0HqhGE,,,,16,-13,0
Lwzjte3e,-1,VAL_M,1,6,20,0
SW69Ui4a,225,VAL_M,7,7,-6,0
uIwmqzOu,235,VAL_B,5,,1,0
DRLKJo8W,,,,,18,0
DUsLPIgS,230,VAL_B,1,3,18,0
q0gV4nNr,888,VAL_B,8,6,34,0
hWhMcAsi,,VAL_B,,13,5,0
HLea7NBu,170,VAL_A,1,4,11,0
TAzvEYxa,,,,6,-8,0
cyDQDKKY,,,,9,0,0
jsrek3Xm,180,VAL_H,2,,21,0
rE5xNyau,,,,10,-12,0
rie2v0ws,,,,,5,0
BS7pockX,180,VAL_H,4,2,4,0
PBUK8xTx,,,,,9,0
hHxgQ8gS,250,VAL_B,4,,7,0
lGtEbY5w,-2,VAL_B,5,,15,0
FFeCaItS,180,VAL_B,5,4,-3,0
5ZtF9Xrt,,,,11,18,0
WuU4aIi3,190,VAL_B,1,14,18,0
WZgtmzHU,,,,18,0,0
ZmNSgbBh,,,,18,-5,0
e0cOK6o2,230,VAL_B,4,9,2,0
cDRYHONM,260,VAL_M,2,3,-6,0
pBPJrZ8A,225,VAL_B,4,40,11,0
MObMjXyX,,,,,21,0
1SpthUNH,,,,8,20,0
t8WvdbWy,180,VAL_B,3,13,3,0
rQWqrV6y,,,,15,2,0
UGz47evk,,,,7,5,0
avfQJZzo,,,,7,18,0
YqofwWoQ,,,,18,9,0
0VBcaWXS,,,,11,7,0
9PttkSMy,,,,,6,0
wgiJk9Ad,,,,,22,0
Qjj1QzBQ,230,VAL_B,5,3,7,1
FRvS14Mv,130,VAL_B,4,2,15,0
OUzQIJHs,,,,8,-11,0
IfU5oVDf,275,VAL_B,2,10,-11,0
yASVhJgB,,,,10,9,0
0mgHAuvr,160,VAL_B,1,18,-4,0
FyO60RVB,150,VAL_A,1,8,10,0
zMvYOnk8,210,VAL_B,5,,-9,0
nmM86yoc,,,,9,7,0
SuHg1Y5G,-2,VAL_B,2,,12,0
nOgVJtzD,,,,15,3,0
GLvbissY,145,VAL_B,1,8,-2,0
C6Vw0wHR,160,VAL_M,4,8,17,0
vhtnJhtr,,,,12,-11,0
zuu5s6WO,,,,,4,0
mQtjkJ4G,,,,15,-11,0
tcw0fS1N,,,,8,18,0
Abju0hAa,,,,,15,0
sx0FxN17,,,,11,-2,0
6XnES67R,,,,9,-2,0
ZdTDm91I,,VAL_B,,3,16,0
iVloZ7s8,255,VAL_B,1,4,21,0
qayD2f6R,265,VAL_B,7,9,3,0
6DeqfejV,,,,8,0,0
C4faeChS,,,,9,-10,0
RESJJ4If,,,,9,11,0
cf9THbCl,,,,8,4,0
9wK7Qiv4,215,VAL_B,6,9,0,0
yk4A78Rp,210,VAL_B,4,7,4,0
ttnehovu,200,VAL_B,4,7,-5,0
FTqilKSv,185,VAL_B,5,8,-6,0
QRO87fXr,-3,VAL_D,7,9,7,0
rJdO8K36,,,,,7,0
fi0bu8q5,155,VAL_B,1,9,25,0
qNEKvyeO,,,,39,-3,0
uqspq3tQ,,,,8,5,0
48RQmMaG,260,VAL_B,7,,4,0
uVQb6ZDf,245,VAL_B,1,4,-1,0
72SiqWzR,,,,7,13,0
Czq7Nwme,,,,16,7,0
WcxULh2h,,,,9,0,0
EQnbBT28,215,VAL_A,6,2,-2,0
NEBwyt0C,-3,VAL_B,5,9,4,0
oAHMDe0H,160,VAL_B,3,6,1,0
r0317mS8,,,,7,1,0
AH6BxedV,,,,,8,0
BsQCgLu4,330,VAL_B,4,9,-7,0
FPnONGWZ,245,VAL_B,2,,1,0
Eq6phXWr,,,,8,-6,0
5f3RSqNi,,,,8,7,0
QmXnxMdV,,,,7,-2,0
vYm4kx5a,,,,,-4,0
aOE4Bc5K,300,VAL_B,1,,-9,0
6zHZ0IqL,300,VAL_D,5,5,21,0
r0l61WiU,,,,,0,0
9hfzE33U,,,,9,3,0
FumzHm8k,-1,VAL_B,2,7,18,0
zBAFuwB8,200,VAL_B,4,12,-1,0
BHrzBMCp,,,,8,-7,0
VnQSAJDc,,,,15,22,0
375U9Yty,,,,8,10,0
reAXJ6h1,,,,8,16,0
vdntzuVW,-3,VAL_B,7,50,3,0
P7ysBh1F,-1,VAL_D,2,,14,0
MHIIpwyK,,,,3,14,0
iv41TIZr,315,VAL_B,7,2,0,0
8Jnf1HOZ,250,VAL_M,6,11,-7,0
QWnoOJwe,160,VAL_B,1,,7,0
KZ4DPTvn,-3,VAL_H,4,11,-6,0
Lca9J4S2,290,VAL_B,2,4,-12,0
JwCAHlwz,,,,17,-8,0
40YqibBj,,,,7,21,0
DFSf2mAt,,,,8,1,0
Z2HVmCTn,,,,22,4,0
hC1GMqJQ,,,,3,-12,0
v2KzLd4a,,,,12,-8,0
0O9mHbv6,-3,VAL_M,6,10,9,0
RTwDcqIQ,150,VAL_B,1,5,25,0
6KpQv17K,,,,,-6,0
5gRX2CNN,,,,15,-8,0
